smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,dft_representative,distance_to_dft,distance_to_centroid,is_cluster_center,centroid_latent_1,centroid_latent_2,centroid_latent_3
OCC(CO)NCCc1ccccc1,4.04713317104749,-1.208715712407005,-3.887142281864001,3,3,14,195.26200000000003,True,False,False,3,PM7,238,912080,0.1817345771966954,0.22446435806030016,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@@H](O)CCCNc1ccccn1,3.949853195123537,-1.4038406930792426,-4.08690228675502,2,3,14,194.27800000000005,True,False,False,3,PM7,238,912080,0.18193418472152179,0.09936375261882921,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@H](O)CCCNc1ccccn1,3.949853195123537,-1.4038406930792426,-4.08690228675502,2,3,14,194.27800000000005,True,False,False,3,PM7,238,912080,0.18193418472152179,0.09936375261882921,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@H](CO)CNc1ccc(C#N)nc1,4.056331892034866,-1.1696992402232589,-3.92792216927674,2,4,14,191.234,True,False,False,4,PM7,238,912080,0.1867748157375542,0.22396738518685588,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@@H](CO)CNc1ccc(C#N)nc1,4.056331892034866,-1.1696992402232589,-3.92792216927674,2,4,14,191.234,True,False,False,4,PM7,238,912080,0.1867748157375542,0.22396738518685588,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@@H](CO)NCc1ccnc(C)c1,3.977107644165583,-1.2319208452861383,-4.155233691742676,2,3,14,194.278,True,False,False,3,PM7,238,912080,0.186851670067325,0.13561593156148813,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@H](CO)NCc1ccnc(C)c1,3.977107644165583,-1.2319208452861383,-4.155233691742676,2,3,14,194.278,True,False,False,3,PM7,238,912080,0.186851670067325,0.13561593156148813,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
Cc1ccc(CNCCC#N)cc1,3.9653527901402152,-1.1174236507391049,-3.878271182184168,1,2,13,174.24700000000004,True,False,False,2,PM7,238,912080,0.18896114352192678,0.26276725637360954,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@@H](O)CN[C@H](CO)c1ccccc1,3.826068471165328,-1.234770032084643,-3.8143947229847006,3,3,14,195.262,True,False,False,3,PM7,238,912080,0.18973361455116824,0.27392559481177353,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@H](O)CN[C@H](CO)c1ccccc1,3.826068471165328,-1.234770032084643,-3.8143947229847006,3,3,14,195.262,True,False,False,3,PM7,238,912080,0.18973361455116824,0.27392559481177353,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@@H](O)CN[C@@H](CO)c1ccccc1,3.826068471165328,-1.234770032084643,-3.8143947229847006,3,3,14,195.262,True,False,False,3,PM7,238,912080,0.18973361455116824,0.27392559481177353,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
C[C@H](O)CN[C@@H](CO)c1ccccc1,3.826068471165328,-1.234770032084643,-3.8143947229847006,3,3,14,195.262,True,False,False,3,PM7,238,912080,0.18973361455116824,0.27392559481177353,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@@H](O)CNCc1ccc(C)nc1,3.8795153831895792,-1.131219168803985,-4.12377511476039,2,3,14,194.27800000000002,True,False,False,3,PM7,238,912080,0.19012617684978272,0.20164861237653328,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CCc1cc(N[C@@H](CC)CO)ncn1,3.803768390861452,-1.1107499304530914,-4.054407104150087,2,4,14,195.266,True,False,False,4,PM7,238,912080,0.1919904080329785,0.24044696963924725,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CCc1cc(N[C@H](CC)CO)ncn1,3.803768390861452,-1.1107499304530914,-4.054407104150087,2,4,14,195.266,True,False,False,4,PM7,238,912080,0.1919904080329785,0.24044696963924725,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC(C)CCNc1nccc(C#N)n1,3.724504032654373,-1.2301568835370686,-3.9184230994549742,1,4,14,190.25,True,False,False,4,PM7,238,912080,0.19344312800354851,0.2638454576935491,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@H](NCc1ncccn1)C(C)C,3.897064450378449,-1.171421275312467,-3.8103218615926298,1,3,14,193.294,True,False,False,3,PM7,238,912080,0.19664879445970632,0.28302095094201923,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CC[C@@H](NCc1ncccn1)C(C)C,3.897064450378449,-1.171421275312467,-3.8103218615926298,1,3,14,193.294,True,False,False,3,PM7,238,912080,0.19664879445970632,0.28302095094201923,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CN(C)C[C@H](CO)Nc1cnccn1,4.06602410497388,-1.165161080135379,-3.9237718871599503,2,5,14,196.25400000000002,True,False,False,5,PM7,238,912080,0.19819425703420265,0.2344037490514421,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
CN(C)C[C@@H](CO)Nc1cnccn1,4.06602410497388,-1.165161080135379,-3.9237718871599503,2,5,14,196.25400000000002,True,False,False,5,PM7,238,912080,0.19819425703420265,0.2344037490514421,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
Cc1cnc(NC[C@@H](C)CCO)nc1,3.9173465182941545,-1.0869398868840126,-4.083335585312025,2,4,14,195.266,True,False,False,4,PM7,238,912080,0.19901812420974144,0.22723363473478167,False,3.9363113991512786,-1.311362926387131,-4.053173400559639
COCC1(N)CCCCC1,-1.3814135606429805,1.0975408560441695,-0.0609786247768772,1,2,10,143.23,True,False,False,2,PM7,239,624779,0.0,0.025554820335392078,True,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C#CCNN=C1CCCC12CCCC2,-1.3885781171567309,1.0696315659217308,-0.0947084926366218,1,2,14,190.28999999999994,True,False,False,2,PM7,239,624779,0.04436173273231118,0.048983275853657984,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
ONCC1(O)CCC1,-1.3825557020471335,1.0560068332347712,-0.0347180559269661,3,3,8,117.148,True,False,False,3,PM7,239,624779,0.04915279253551747,0.07239786725309126,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
