original_index,smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,cluster_id,calculation_type,is_cluster_center,distance_to_centroid,dft_representative,distance_to_dft,centroid_latent_1,centroid_latent_2,centroid_latent_3
445752,NC[C@H]1CC[C@H](NC(N)=O)CC1,-3.689522847203648,1.968766456638214,2.0014002435187788,3,2,12,171.24399999999997,True,False,False,4,156,DFT,True,0.06949348510576175,733185,0.0,-3.6955405250296987,1.9187614228546952,2.0492816451485947
206076,NNc1nccnc1N1CCCC1,1.571802855329008,3.540181804588343,-0.7578543712699305,2,5,13,179.22699999999995,True,False,False,5,157,DFT,True,0.032966561915317785,736602,0.0,1.5918374579345618,3.557715285436971,-0.7772962320935456
413986,CCCOc1cc(N)n[nH]1,2.9348064408457857,0.3622270467258666,-0.4687589259853819,2,3,10,141.174,True,False,False,4,158,DFT,True,0.05968006027222339,257490,0.0,2.9522374501129507,0.30528197260895007,-0.46486944737725083
508807,C#CC[C@@H](CO)Nc1ccnc(C)n1,3.4041375270518284,-1.1975300234089807,-2.977457179699788,2,4,14,191.234,True,False,False,4,159,DFT,True,0.052154118964573656,19750,0.0,3.378677947207505,-1.23646234899289,-3.001039714418302
77984,CC(C)[C@@H](CCO)NC(=O)CON,-0.7193261507184993,-4.654772879220346,-0.2528574962571583,3,4,13,190.24299999999997,True,False,False,5,160,DFT,True,0.02390215340280314,172444,0.0,-0.7119016496287212,-4.633383870841699,-0.26051909148512337
43881,CN(C)c1cnc(-c2nnn[nH]2)cn1,4.903976196921377,1.6184253964559492,-1.266131365697703,1,6,14,191.198,True,False,False,7,161,DFT,True,0.025146413594765188,400084,0.0,4.908094929368143,1.6074515259684616,-1.2883788897449941
278643,COC[C@@H](N[C@@H]1CCNC1)C1CC1,-3.38438183590915,1.24584993047701,-1.979161818675117,2,3,13,184.28299999999996,True,False,False,3,162,DFT,True,0.11732299200026071,474741,0.0,-3.4869220016244453,1.3002238206603107,-1.962024755528025
315273,N=C(NCC1(O)CCCC1)N1CCC1,-2.970088686248761,2.179045286325286,0.9258806811261086,3,2,14,197.28199999999995,True,False,False,4,163,DFT,True,0.07060556047798189,712202,0.0,-3.0105601534781785,2.223925064481887,0.8893702576374329
18212,COc1cc(C(=O)NCC(N)=O)on1,2.2732306452210067,-1.813677234676501,5.348917511788494,2,5,14,199.166,True,False,False,7,164,DFT,True,0.11355361088791584,499440,0.0,2.178737975918029,-1.7795760671077805,5.401857745676647
413438,Cc1cc(C(=O)NCCCCN)n[nH]1,2.639366960194099,-1.7294447830374398,1.5789550747015837,3,3,14,196.254,True,False,False,5,165,DFT,True,0.08469610370120885,645489,0.0,2.6319624776398385,-1.6453039084492154,1.5851934113226924
