smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,is_cluster_center,distance_to_centroid,centroid_latent_1,centroid_latent_2,centroid_latent_3
COC(=O)[C@]1(C)CC[C@H](N)C1(C)C,-1.356806861469754,0.0208352603507784,2.534919340076187,1,3,13,185.26699999999997,True,False,False,3,DFT,52,True,0.05846920451021723,-1.3969869199539624,-0.010344370424639537,2.5060742122211783
Cc1coc(C)c1C(=O)NCC(N)=O,2.097057074110969,-1.662102162181454,5.326917546378686,2,3,14,196.20599999999996,True,False,False,5,DFT,53,True,0.1165567576066256,2.2024464349247936,-1.698592262965628,5.3607854207699726
O=C(N[C@@H]1CC[C@H]1O)[C@]12CNC[C@@H]1C2,-3.4882171949815213,3.2473779597707564,2.0183206516992005,3,3,14,196.24999999999997,True,False,False,4,DFT,54,True,0.059809112868274644,-3.4589989448092866,3.2985283206345177,2.0286678456410243
C#C[C@@H](C)NC(=O)NCC[C@@H](C)OC,-1.0175348392116343,-5.786784329266864,0.1001578399680158,2,2,14,198.266,True,False,False,4,DFT,55,True,0.02922075016203093,-1.0453687362594961,-5.778313447166629,0.1028727196347363
CCCCNc1nc2ccccc2o1,4.228180897441634,0.1253232780644368,-2.184241351882102,1,3,14,190.24599999999998,True,False,False,3,DFT,56,True,0.07682942018650679,4.261191474510995,0.15717443091840755,-2.1226088469061106
C=C[C@](C)(O)C(=O)N[C@H]1CCCNC1,-3.022218692014967,1.4577677718037574,2.629963503526288,3,3,14,198.26599999999993,True,False,False,4,DFT,57,True,0.06944353425085618,-3.0429041042913694,1.453977767949512,2.5637807713449257
CC(C)CN1CC[C@@H](CCCO)C1,-2.801149950586252,0.7882219973380161,-4.627280164289361,1,2,13,185.31099999999995,True,False,False,2,DFT,58,True,0.07843907405880088,-2.8559644817922907,0.7888452033924472,-4.571176090265472
CC[C@@H]1C[C@H]1NC(=O)N(CC)CC,-2.7025859745822487,-1.3423106791671908,-0.0292443673750878,1,1,13,184.28299999999996,True,False,False,3,DFT,59,True,0.0799393556511558,-2.686207615362802,-1.2876136012489101,-0.08519326904797385
CS/C=C\C(=O)Nc1ncccn1,4.284621389673262,-0.3360350304603237,2.455603230776068,1,4,13,195.247,True,False,False,4,DFT,60,True,0.018133142278667767,4.297675019136685,-0.34433922441746223,2.4650612416373585
OCC1(NCc2nc[nH]n2)CCCC1,1.228043546987606,1.9231256998589588,-0.7859480460080586,3,4,14,196.25399999999993,True,False,False,5,DFT,61,True,0.02932169248366651,1.2515664594696343,1.909772965861034,-0.77462820796813
c1csc(Cc2c[nH]cn2)c1,4.549250932346552,2.125361381727804,-0.4411351834190637,1,2,11,164.233,True,False,False,2,DFT,62,True,0.022802995090663424,4.546313673703147,2.1455173640225462,-0.45138630406514907
CC(C)[C@H](C)N(C(=O)CCN)C1CC1,-1.4896046713995914,-2.798173713607674,-0.5485970210378012,1,2,14,198.30999999999997,True,False,False,3,DFT,63,True,0.05503375080163946,-1.5350568804797886,-2.7679033135196796,-0.5554170866928907
C[C@H](C(=O)O)C(=O)N[C@H]1CC12CCC2,-2.526602184479321,-1.3402358581641527,4.44268417933284,2,2,14,197.23399999999995,True,False,False,4,DFT,64,True,0.058416074754394164,-2.505237000617993,-1.291731800114393,4.418121543867806
C=CCCCCN1CC[C@@H](O)C1,-2.9258455261411527,0.3491789157057161,-1.680079350938714,1,2,12,169.268,True,False,False,2,DFT,65,True,0.039361975052814406,-2.888985818057352,0.3424616620275217,-1.6921460614705104
CNC(=O)c1sc(NC)nc1C,2.352641842034745,-0.7679720749706824,2.290464204129936,2,4,12,185.252,True,False,False,4,DFT,66,True,0.07037829920357971,2.3077888045352,-0.7219285132224087,2.261805864202684
CC(=O)NCc1cccc(CN)c1,4.129000429156003,-0.016047483759345,1.532876597727178,2,2,13,178.23499999999996,True,False,False,3,DFT,67,True,0.018483578360904328,4.114404658869004,-0.02597913727502943,1.5383509394407775
O=C(OCCOCCO)C1CC1,-1.569971057926337,-2.282737235992,1.832688710445142,1,4,12,174.196,True,False,False,4,DFT,68,True,0.027675788273618645,-1.548185905085687,-2.268270757621369,1.823629053949019
CC#CC(=O)N1N[C@H]2CC[C@H]1C2,-1.4331790560952362,1.5092707796315532,1.169878152868853,1,2,12,164.20799999999997,True,False,False,3,DFT,69,True,0.0518095033369082,-1.4768512705827526,1.5371415392947978,1.1703060238390393
CC(=O)N[C@H]1CCc2[nH]ncc2C1,0.6331614240772552,1.911694761428044,2.8332795845215784,2,2,13,179.22299999999998,True,False,False,4,DFT,70,True,0.035884012410753,0.6498334017971592,1.889542107958376,2.8104987274293856
C1CO[C@H](C[C@@H]2COCCN2)C1,-4.619919267921675,6.410009065103794,-1.2770265620920167,1,3,12,171.23999999999998,True,False,False,3,DFT,71,True,0.06120608953759458,-4.61124889494432,6.354854099008789,-1.2519478909953166
O=C(CC1OCCO1)NC1CCCC1,-5.539429061926698,3.8412780156784025,1.9511081194167297,1,3,14,199.24999999999997,True,False,False,4,DFT,72,True,0.18578442515696278,-5.50561838872958,3.6754267499197146,2.0276982536058137
